,Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3,action mode
C6,0.0328825,0.035444,0.053668,0.2729225,0.04667725,0.10833,0.033404,0.038202,0.032351,0.033941,0.03225775,0.03392025,0.03105725,0.03374,GABAA pore blocker
C15,0.0235705,0.02768525,0.030987125,0.11349375,0.061455,0.12574625,0.0265455,0.0421345,0.0242275,0.025818,0.024236875,0.025264375,0.024048625,0.024892875,GABAA pore blocker
C16,0.0295555,0.033269,0.03006725,0.03593725,0.07096775,0.1340575,0.035689,0.10304,0.029538,0.031228,0.02873125,0.03045725,0.0284375,0.03046975,GABAA pore blocker
C18,0.0234405,0.02722,0.024880125,0.030050875,0.03981725,0.0570775,0.0264865,0.0452625,0.023072,0.0245965,0.022551125,0.024152375,0.022438,0.02460325,GABAA pore blocker
C23,0.029928,0.0333985,0.03045575,0.04788275,0.04217975,0.11190975,0.031966,0.042784,0.027372,0.028705,0.02701075,0.02790725,0.0272615,0.02806525,GABAA pore blocker
C44,0.030539,0.03198025,0.031378125,0.033226625,0.033086,0.039629375,0.0309615,0.0324775,0.0305845,0.031696,0.030696375,0.03125775,0.030488375,0.03172075,GABAA pore blocker
C46,0.027709,0.029622,0.0279455,0.0305835,0.03067775,0.04389375,0.028034,0.030386,0.028041,0.028746,0.02761175,0.02858625,0.02743175,0.02885575,GABAA pore blocker
C50,0.031127,0.032783,0.03484425,0.085134625,0.041091125,0.088585625,0.0324925,0.036022,0.031287,0.0326265,0.031130375,0.032373875,0.031176125,0.0324445,GABAA pore blocker
C55,0.02486375,0.02718875,0.026151625,0.031542375,0.029214375,0.037101625,0.0243085,0.028998,0.0246885,0.025761,0.02470325,0.0259195,0.024256125,0.026022125,GABAA pore blocker
C62,0.02703975,0.03123175,0.032567,0.080162,0.0384225,0.051553875,0.0293045,0.031845,0.0267255,0.0289225,0.026714875,0.0291525,0.02660225,0.02883475,GABAA pore blocker
C67,0.0181615,0.02389275,0.01865,0.02215875,0.018751,0.026259875,0.018147,0.0199765,0.0182115,0.0193435,0.018138375,0.019593625,0.018090875,0.019405,GABAA pore blocker
C73,0.020267,0.0253665,0.034727,0.2636575,0.0577735,0.1476325,0.022652,0.060435,0.019197,0.0209,0.01917,0.01975275,0.017883,0.01968925,GABAA pore blocker
C88,0.02901025,0.03093725,0.029237,0.032062625,0.030781375,0.038398875,0.0283525,0.0305615,0.027932,0.030372,0.027708125,0.030488,0.0276465,0.0304315,GABAA pore blocker
C90,0.036407,0.04070125,0.037251,0.043230125,0.038030125,0.049788625,0.036124,0.0398845,0.0353175,0.037961,0.0352755,0.036515125,0.035274625,0.0378905,GABAA pore blocker
C93,0.03014475,0.032641,0.0309895,0.04040575,0.03524575,0.054632375,0.0307775,0.03449,0.030168,0.031876,0.02959,0.031568375,0.029296125,0.031158375,GABAA pore blocker
C94,0.0299695,0.0331965,0.0329045,0.05483225,0.03492975,0.06022225,0.028566,0.032317,0.028363,0.029424,0.02829675,0.0316845,0.02857425,0.02996125,GABAA pore blocker
C95,0.028833,0.0313775,0.02989325,0.03574,0.03252825,0.0535625,0.028286,0.031492,0.028387,0.030458,0.02826625,0.02968875,0.02791475,0.02895975,GABAA pore blocker
C96,0.0397495,0.0414525,0.03878075,0.04054825,0.03856875,0.0411745,0.03864,0.041245,0.0392,0.042063,0.03977725,0.040634,0.0390605,0.04118125,GABAA pore blocker
C97,0.03449625,0.03766625,0.034608875,0.040961125,0.0365435,0.055516625,0.035151,0.037509,0.0344785,0.035578,0.034354625,0.036244625,0.034431125,0.035197875,GABAA pore blocker
C98,0.0340405,0.03606925,0.034658,0.03926125,0.035844375,0.0407145,0.033452,0.034882,0.0335455,0.0351485,0.033813,0.0364835,0.033409625,0.034700375,GABAA pore blocker
C103,0.02423325,0.0256975,0.024315125,0.02456275,0.024474375,0.025801875,0.024617,0.0251985,0.023476,0.023744,0.02333725,0.023590875,0.023127375,0.023545,GABAA pore blocker
C107,0.03082625,0.03237175,0.031032875,0.032390875,0.03154225,0.0331885,0.0301095,0.0327335,0.0309275,0.03213,0.03086625,0.031958875,0.030079875,0.032204875,GABAA pore blocker
C108,0.027519,0.029526,0.02769525,0.029925,0.028797,0.03260325,0.028084,0.029949,0.027804,0.028888,0.02744025,0.02843375,0.0274265,0.028233,GABAA pore blocker
C110,0.0258025,0.0277875,0.0266855,0.02834775,0.02686225,0.0337445,0.026283,0.029752,0.025711,0.026863,0.0254265,0.0266495,0.02538425,0.0265255,GABAA pore blocker
C119,0.032267,0.0342245,0.033313,0.0338885,0.033975375,0.036885125,0.032365,0.0352145,0.0320015,0.032794,0.031775,0.0324635,0.032336,0.03426875,GABAA pore blocker
C120,0.035466,0.03913375,0.03580625,0.037461875,0.03536075,0.036605375,0.0353715,0.0373895,0.0349945,0.036535,0.035326125,0.03850625,0.034989625,0.036853,GABAA pore blocker
C26,0.0265845,0.0354065,0.02816025,0.038576,0.02667075,0.03301225,0.0281,0.031695,0.026224,0.030396,0.0241915,0.031404,0.0262785,0.02876175,TRPV agonist
C30,0.0256995,0.030862,0.02732725,0.078606375,0.029646125,0.055053875,0.026559,0.031528,0.02541,0.027391,0.024445,0.0263015,0.02458,0.026805125,TRPV agonist
C33,0.0327315,0.03811,0.0354525,0.10338625,0.0411495,0.09061875,0.033629,0.038875,0.033074,0.034567,0.032951,0.036663,0.032216,0.03540125,TRPV agonist
C51,0.031439,0.0349605,0.03623975,0.223915,0.04518525,0.1380425,0.03182,0.035952,0.030576,0.032543,0.03055675,0.03195025,0.030512,0.03139025,TRPV agonist
C52,0.0312345,0.036551,0.03335825,0.040522,0.0384705,0.076023,0.032406,0.034384,0.029405,0.032018,0.032402,0.037052,0.030188,0.03326925,TRPV agonist
C53,0.0282135,0.032416,0.02915625,0.0310015,0.02934425,0.0393545,0.029725,0.033051,0.028238,0.031008,0.027939,0.02979525,0.028066,0.031934,TRPV agonist
C57,0.0259565,0.0310355,0.02780975,0.0303165,0.028542125,0.02951875,0.0267805,0.02898,0.026002,0.027963,0.025012125,0.025801625,0.02557825,0.02853275,TRPV agonist
C58,0.0265455,0.033447,0.0296005,0.03360575,0.03151,0.037165,0.026296,0.029155,0.02638,0.02667,0.0263995,0.0281525,0.028143,0.0291285,TRPV agonist
C59,0.023929,0.03002625,0.026893,0.032600375,0.026793625,0.032431,0.022706,0.02548,0.0228255,0.0260105,0.022736,0.023639,0.022542375,0.02431775,TRPV agonist
C60,0.0237285,0.0304505,0.02402975,0.0263935,0.024259,0.02736875,0.022694,0.024723,0.023083,0.023769,0.022525,0.02414325,0.022459,0.0267485,TRPV agonist
C61,0.02762175,0.032282,0.028301875,0.0330665,0.03416925,0.052091875,0.0281905,0.030513,0.0274055,0.028274,0.027756,0.03038225,0.026953375,0.030334875,TRPV agonist
C68,0.020635,0.0251165,0.02431775,0.1256025,0.044063,0.0956875,0.021661,0.027226,0.019229,0.02164,0.0203225,0.02166575,0.0197545,0.02216525,TRPV agonist
C69,0.020596,0.0252835,0.031344,0.2345875,0.040228,0.1266825,0.022198,0.026789,0.020507,0.022712,0.01999375,0.02114,0.01984525,0.0215105,TRPV agonist
C74,0.026196,0.0302895,0.02631575,0.027512,0.02660275,0.027516,0.025924,0.027349,0.025794,0.027183,0.02559,0.0275675,0.025395,0.027621,TRPV agonist
C75,0.0271495,0.040812,0.02916175,0.038727375,0.027039125,0.030601875,0.025683,0.028237,0.026061,0.028151,0.0257275,0.026462375,0.025903,0.026638,TRPV agonist
C76,0.021495,0.0311285,0.02347325,0.040556125,0.02450875,0.053825375,0.0202425,0.022235,0.019624,0.0204695,0.020081125,0.020609375,0.019854625,0.02119225,TRPV agonist
C77,0.02369,0.0352815,0.024154625,0.029366875,0.027048875,0.040462875,0.0223545,0.027884,0.02128,0.0216905,0.0207145,0.021259875,0.020642625,0.0222585,TRPV agonist
C78,0.024131,0.035718,0.02512175,0.03845775,0.026182,0.02966775,0.023161,0.026277,0.022313,0.023452,0.02200025,0.02305975,0.022038,0.02316725,TRPV agonist
C79,0.0239435,0.0316875,0.023745,0.028584,0.024204,0.0311465,0.022937,0.024159,0.022242,0.0232,0.0224015,0.0229765,0.0223855,0.02372725,TRPV agonist
C80,0.029967,0.0336245,0.031415,0.03295225,0.03019275,0.03253225,0.030588,0.037503,0.030111,0.030904,0.03036875,0.0311995,0.03065375,0.03285825,TRPV agonist
